"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15"
1.4867195147343e-05;2.21033491549179e-10;3.28614805296023e-15;4.88558043864209e-20;7.26348777893334e-25;1.07987690259743e-29;1.60547406460242e-34;2.38688962224422e-39;3.54863538090723e-44;5.27582547147139e-49;7.84367268476873e-54;1.16613412476343e-58;1.73371436008337e-63;2.57754697211101e-68;3.83208938358171e-73
1.99471883560474;7.95774715470528;31.7468179671205;126.651479552922;505.266300690583;2015.72090207497;8041.56293326621;32081.1945458886;127985.449101388;510588.069227092;2036951.68683221;8126261.51012385;32419092.979872;129333468.819362;515965889.830239
1.38824022538172;5.31540614707662;21.1663404507968;84.4346343593735;336.844255614487;1343.81394438422;5361.04195720537;21387.4630308894;85323.6327343107;340392.046151404;1357967.79122147;5417507.6734159;21612728.653248;86222312.5462414;343977259.886826
1.08500092027021;3.99423564326228;15.8761016926349;63.3262117625992;252.63323307644;1007.86046553885;4020.78146917495;16040.5972733898;63992.7245507721;255294.03461356;1018475.84341611;4063130.75506193;16209546.489936;64666734.409681;257982944.91512
1.23329890699421;3.86260228247875;13.9195411987101;50.6652663520741;202.106601611984;806.288400103935;3216.62517543753;12832.4778188901;51194.1796409432;204235.227690849;814780.674732884;3250504.60404954;12967637.1919488;51733387.5277448;206386355.932096
1.02833674863246;3.21883730746088;11.5996176728978;42.2210553067395;168.42216803436;671.907000086698;2680.52097953143;10693.7315157417;42661.8163674526;170196.023075708;678983.895610737;2708753.83670795;10806364.326624;43111156.2731207;171988629.943413
1.14235876366928;2.75992342466499;9.94253267785709;36.1894759886433;144.361858336057;575.920285826757;2297.58941109664;9166.05558492173;36567.2711721027;145882.305493464;581986.196237774;2321789.00289253;9262597.99424915;36952419.6626749;147418825.665783
1.00000466281358;2.41573801256807;8.70118644746099;31.6684770788096;126.31663551332;503.9302501318;2010.39073470968;8020.29863680673;31996.3622755899;127647.017306781;509237.921708053;2031565.37753096;8104773.244968;32333367.2048405;128991472.45756
0.892251098095624;2.14963256533638;7.73438859623354;28.1497595132476;112.281460713359;447.93800487974;1787.01398640993;7129.15434382911;28441.2109116361;113464.015383805;452655.930407158;1805835.89113863;7204242.884416;28740770.8487471;114659086.628942
0.871812264112754;1.93674820755103;6.96777187087774;25.3347854607981;101.053314642552;403.144204391782;1608.31258776899;6416.23890944621;25597.0898204725;102117.613845425;407390.337366442;1625252.30202477;6483818.5959744;25866693.7638724;103193177.966048
0.792581907406348;1.76068019572579;6.33433806927895;23.0316231495125;91.8666496751476;366.494731265587;1462.10235251749;5832.94446313291;23270.081654975;92834.1944049314;370354.852151311;1477502.09274979;5894380.54179491;23515176.1489749;93811979.9691344
1.00000088891447;2.51137035674797;5.83359871544077;21.1131409218026;84.2116593776291;335.953503817061;1340.26048981244;5346.8657578874;21330.9081837271;85098.0115378538;339491.947805368;1354376.91835398;5403182.163312;21555578.1365603;85994314.9717065
0.975990263480038;2.31978717449681;5.38596035042775;19.4926629217367;77.7363224471406;310.111001643685;1237.16353132564;4935.5683918967;19690.0690926711;78552.0106503266;313377.182589571;1250194.07848059;4987552.76613416;19897456.7414403;79379367.6661906
0.908435428970892;2.15557301828153;5.00129377517181;18.1003298683898;72.1837279870081;287.960215812253;1148.7947076597;4583.02779247609;18283.6355860522;72941.1527467331;290993.098118887;1160894.50144627;4631298.99712457;18476209.8313374;73709412.8328913
1.06664704607308;2.7297989589289;4.66807401926735;16.8937786654979;67.3714794928001;268.762868091447;1072.20839381576;4277.49260631104;17064.726546982;68078.4092302842;271593.558244295;1083501.53468318;4322545.7306496;17244462.5092483;68795451.9773652
0.999999001964908;2.55918652883792;4.37631940895297;15.8379174993845;63.1607620260761;251.965188840903;1005.19536920227;4010.1493184166;15998.1811377957;63823.5086533915;254618.960854026;1015782.68876548;4052386.622484;16166683.6024203;64495736.2287799
0.941236721681542;2.40887862592399;4.11977212247201;14.9063427981525;59.4454238150833;237.143708005589;946.066233109433;3774.25818207462;15057.1116591022;60069.1846149567;239641.374921436;956030.765896924;3814010.93880847;15215702.2140426;60701869.3917928
1.03176463011409;2.27506168263041;3.89089589409742;14.0782126429372;56.1429002700805;223.969057560837;893.506997936686;3564.57717195936;14220.6054558187;56732.0076919035;226327.965203579;902917.945569317;3602121.442208;14370385.4243736;57329543.314471
0.9780317295813;2.15536519521753;3.686115231935;13.3372540830077;53.1880107827602;212.181212427544;846.480313834869;3376.96784711969;13472.1525370914;53746.1125502244;214415.967034969;855395.94843409;3412536.10314442;13614049.3494065;54312198.9294989
0.987978648714395;2.06905359091458;3.50963274568996;12.7001143963256;50.5286411626091;201.572151838329;804.156298154852;3208.11945476372;12798.5449102369;51058.8069227132;203695.168683221;812626.151012385;3241909.2979872;12933346.8819362;51596588.9830239
1.12185138267972;1.9707154284568;3.34250941683456;12.0953470662321;48.1225153929625;191.973477941266;765.86314109986;3055.35186167973;12189.0903907018;48627.4351644888;193995.398745925;773929.667630843;3087532.66474972;12317473.2208916;49139608.5552609
1.07086120834704;1.88114534746511;3.19058646047412;11.5455694971083;45.9351698708283;183.247425908379;731.051180304953;2916.47223160339;11635.0408274881;46417.0972024665;185177.426075655;738751.046374896;2947190.27089746;11757588.0744875;46905989.9845672
1.04015456153899;1.81801438058222;3.09983006008101;11.0436381093401;43.9380067641254;175.280146522287;699.266346378652;2789.6690910989;11129.1694871625;44398.9625414897;177126.233637583;706631.435662944;2819051.56346713;11246388.592988;44866599.115673
