"sobol";"halton";"pseudo"
"-0.99";0.279583851469865;0.024316051209316;0.292643725045073
"-0.98";0.13553191267734;0.0316211690321603;0.0679059771726589
"-0.97";0.0893966868882742;0.0303850065200745;0.0185352605469953
"-0.96";0.0673760091886742;0.0155886812000407;0.0205318496852532
"-0.95";0.0543655347361939;0.0167951874365795;0.0234747657928702
"-0.94";0.045584347060155;0.00925743083948157;0.0170223364950569
"-0.93";0.0391634985655673;0.0078439853552423;0.0161451897929337
"-0.92";0.0342376770017956;0.0273156022754837;0.0157656117906518
"-0.91";0.0303425565238437;0.0228581371639959;0.0310240797146638
"-0.9";0.0271977170111195;0.0314702842179157;0.0304512563545807
"-0.89";0.0246185946942536;0.0107861332710146;0.0675850492748317
"-0.88";0.022476314357478;0.00630808810440508;0.014303754843504
"-0.87";0.0206772033495652;0.0161724810642234;0.025634442621476
"-0.86";0.0191512687881524;0.170268492108801;0.0145400567656821
"-0.85";0.0178451735200474;0.0367316211901177;0.0272931316083246
"-0.84";0.0167176753358639;0.0129142624280839;0.0163566066324734
"-0.83";0.0157365192897271;0.0100040557419258;0.017000125820878
"-0.82";0.0148762420372318;0.0407557258143773;0.0776957112418916
"-0.81";0.0141165781325714;0.00512239231829578;0.0152711558931988
"-0.8";0.0134412798320554;0.0281203024795139;0.0123258489488998
"-0.79";0.0128372299131058;0.00544816230121588;0.0115669201312056
"-0.78";0.0122937671236025;0.0101826099834417;0.0266148926138696
"-0.77";0.0118021687379775;0.0129186705837816;0.0153279115537193
"-0.76";0.0113552507954439;0.0074025271228969;0.0163907231874113
"-0.75";0.0109470574185721;0.0167905182653055;0.0636895594400342
"-0.74";0.0105726181160191;0.129373065755914;0.0218406612830173
"-0.73";0.0102277573102239;0.0125996366245864;0.011638253338778
"-0.72";0.00990894420143755;0.00518356190112789;0.00556420865922308
"-0.71";0.00961317392988418;0.00535551459567552;0.0192021266996535
"-0.7";0.00933787312216947;0.0100422016128389;0.010399586537388
"-0.69";0.00908082450602086;0.00477143450043925;0.023736982833511
"-0.68";0.00884010648836854;0.0515280016364133;0.0800457609513322
"-0.67";0.00861404451486323;0.00652571346741551;0.00745913627519819
"-0.66";0.00840117173605672;0.00701794783304612;0.0092440194005605
"-0.65";0.00820019704941809;0.00471806504370551;0.0132696672516344
"-0.64";0.00800997900629108;0.0033985068540371;0.00746623382795114
"-0.63";0.00782950439813462;0.00328715250687225;0.0252833808960559
"-0.62";0.00765787058902601;0.00531431680890782;0.0255800517438103
"-0.61";0.00749427085819126;0.00181884523051963;0.0128755188051284
"-0.6";0.0073379821700109;0.00405054146876543;0.00715203982819552
"-0.59";0.00718835490927909;0.00431082037999321;0.0150360338837714
"-0.58";0.0070448042139447;0.00170039691450206;0.00909472370313388
"-0.57";0.00690680261188447;0.00286670517014852;0.00796145301600016
"-0.56";0.00677387372688571;0.0139645641541642;0.0238729849759359
"-0.55";0.00664558686537775;0.00340829781667773;0.0171625891807203
"-0.54";0.00652155233220423;0.00229811128362504;0.026319238653852
"-0.53";0.0064014173529363;0.0045494220197429;0.00622311932452506
"-0.52";0.00628486250349658;0.00417364394189946;0.0092306711906424
"-0.51";0.00617159856644752;0.00235674959422507;0.009441653667364
"-0.5";0.00606136374817709;0.00595053573097307;0.0135083411705167
"-0.49";0.00595392120315664;0.00233242941560153;0.0202170386905326
"-0.48";0.00584905682105305;0.00694839789610507;0.00535402408197753
"-0.47";0.00574657724022703;0.00446826208517484;0.0309562777407957
"-0.46";0.00564630805741426;0.00500726598417144;0.0189127999769568
"-0.45";0.00554809220846423;0.00455142606278818;0.00804538401221339
"-0.44";0.00545178849913799;0.00257308702363747;0.0170819134971022
"-0.43";0.00535727026832732;0.00449267465767456;0.00892997483009093
"-0.42";0.0052644241688038;0.00656588863898569;0.0173917101019863
"-0.41";0.0051731490528555;0.0055984205244154;0.00874199296483008
"-0.4";0.00508335495201641;0.00186117857489006;0.00531436681069753
"-0.39";0.00499496214161737;0.0077481364905762;0.0226301218272164
"-0.38";0.00490790028214617;0.00543763920062906;0.0217797221047506
"-0.37";0.0048221076304504;0.0172925285396653;0.0131577109271932
"-0.36";0.00473753031468804;0.0611499516355673;0.0199641620659847
"-0.35";0.00465412166766026;0.00482595425389268;0.0151454402339808
"-0.34";0.00457184161377506;0.00326542508213781;0.00781130595850229
"-0.33";0.00449065610540918;0.00237914651339902;0.00673698607056323
"-0.32";0.00441053660487787;0.00273260267506944;0.0680329814347675
"-0.31";0.00433145960859975;0.00700701514000076;0.0425132089664294
"-0.3";0.00425340621036981;0.00313283936309458;0.0159515628236664
"-0.29";0.00417636170093641;0.00263664546734897;0.00868782043670649
"-0.28";0.00410031520132449;0.00754283956204214;0.00596819664986027
"-0.27";0.00402525932756491;0.0050855721996337;0.00603926132157179
"-0.26";0.0039511898846822;0.00233961546686338;0.00935795003176249
"-0.25";0.00387810558796505;0.0042046876495535;0.00532050377251551
"-0.24";0.00380600780969845;0.0038708106241611;0.00431277644285558
"-0.23";0.00373490034967673;0.00176001253417788;0.00417207939841119
"-0.22";0.00366478922794408;0.00187130400330941;0.0490694492877925
"-0.21";0.00359568249832659;0.00702666211474761;0.00907729168158269
"-0.2";0.00352759008142754;0.0031886055322802;0.00902986094339332
"-0.19";0.00346052361585803;0.00237556631943601;0.0032490037189036
"-0.18";0.00339449632656839;0.00275721509452146;0.00970334103374307
"-0.17";0.003329522909233;0.00293825857350904;0.0313697007732844
"-0.16";0.00326561942972326;0.0051729149096079;0.00533164520764285
"-0.15";0.0032028032377811;0.00421723006708059;0.0315576737716065
"-0.14";0.00314109289407837;0.0030069335155716;0.116854286609777
"-0.13";0.00308050810991713;0.00627941373379547;0.0129539506427925
"-0.12";0.00302106969889241;0.00353147612819184;0.00512457230585712
"-0.11";0.00296279953990173;0.00152781919987625;0.00548166058508948
"-0.1";0.00290572055094696;0.00299087223153595;0.00823533382386733
"-0.09";0.00284985667323188;0.00552271423925396;0.00599953590478637
"-0.08";0.00279523286511518;0.00209525203911854;0.00648266458732582
"-0.07";0.00274187510553295;0.00537104498312153;0.0068972325109599
"-0.0599999999999999";0.0026898104065573;0.00316135306363167;0.0598049899837442
"-0.0499999999999999";0.00263906683480897;0.00702240626249411;0.0137938022644447
"-0.04";0.00258967354149202;0.00279249955799295;0.00375017629512366
"-0.03";0.00254166080086766;0.00131061792048069;0.0328985811314629
"-0.02";0.00249506005703255;0.00585471352810172;0.00363782930267056
"-0.01";0.00244990397891519;0.00259827618144482;0.00779380177076207
"0";0.00240622652345086;0.00429175567037927;0.0041347640145688
"0.01";0.00236406300694371;0.00252915816700113;0.00874336263518672
"0.02";0.00232345018467187;0.00254582698012359;0.00594206069816775
"0.03";0.00228442633883965;0.0192870844882866;0.0143982297318678
"0.04";0.00224703137502966;0.00384564530140058;0.0169216142855201
"0.05";0.00221130692735748;0.00344007285089442;0.0146272537501175
"0.0600000000000001";0.00217729647258231;0.00198869369717354;0.0225418026006497
"0.0700000000000001";0.00214504545348;0.00420290406550063;0.00839115159868321
"0.0800000000000001";0.00211460141183884;0.0137992673859035;0.00582608423240189
"0.0900000000000001";0.00208601413149578;0.00271632911569194;0.0127514151891406
"0.1";0.00205933579188971;0.00247818368094908;0.0131914492795537
"0.11";0.00203462113267145;0.017412344752822;0.0101467560862415
"0.12";0.00201192762997577;0.00391313718523174;0.0130519940700747
"0.13";0.00199131568503131;0.00350342770131259;0.034364963237045
"0.14";0.00197284882585883;0.00308518535520724;0.0148134027317718
"0.15";0.00195659392288861;0.00247823038750369;0.0056834585789411
"0.16";0.00194262141941379;0.00511929782413296;0.0044643032558769
"0.17";0.00193100557788931;0.00462820336433874;0.0213711912615809
"0.18";0.00192182474318668;0.0137135667055733;0.00791486946629225
"0.19";0.00191516162402413;0.00121061191137812;0.00519946717397043
"0.2";0.00191110359391015;0.00114249454102865;0.0161053905949609
"0.21";0.00190974301306881;0.00660674840039517;0.00920691423713022
"0.22";0.00191117757295735;0.00301200228524056;0.00504746685941417
"0.23";0.00191551066514289;0.00369241965383738;0.00735819804543633
"0.24";0.00192285177647742;0.0165098989025744;0.00711903042458282
"0.25";0.00193331691270091;0.0030065698040512;0.0141638271052168
"0.26";0.0019470290528127;0.00321297305686502;0.01343892942988
"0.27";0.00196411863678613;0.000859697678226863;0.00438708928359208
"0.28";0.00198472408946176;0.00964654649096732;0.00588942066273278
"0.29";0.002008992383746;0.00353760412122722;0.00993062337379663
"0.3";0.00203707964656787;0.000955953685072319;0.00788015637717474
"0.31";0.00206915181141233;0.00419573176534695;0.00971930244662951
"0.32";0.00210538532166085;0.00435595094035149;0.0116094601234883
"0.33";0.00214596788943394;0.00398598849791177;0.0129835825401412
"0.34";0.00219109931515639;0.00240566154569105;0.00892023551304322
"0.35";0.00224099237366257;0.0325283958065176;0.0140128118219032
"0.36";0.00229587377333726;0.0059376941637383;0.0102777802976206
"0.37";0.00235598519556209;0.00812433529483442;0.00507995544903159
"0.38";0.00242158442262314;0.00744953910875775;0.113692114012456
"0.39";0.00249294656325165;0.00274647624528928;0.0615498762709809
"0.4";0.00257036538613924;0.00650828369501523;0.0108046464433976
"0.41";0.00265415477311857;0.00201355946068;0.0178655374478876
"0.42";0.00274465030526284;0.0050376713928464;0.0117850050359368
"0.43";0.00284221099697116;0.00217600153157919;0.0159423702754019
"0.44";0.00294722119521912;0.0027821619337882;0.0111093525546901
"0.45";0.00306009266362181;0.00499803476942314;0.0115810598455314
"0.46";0.00318126687384775;0.00788497961021009;0.004386403819818
"0.47";0.00331121753032252;0.00381141067390443;0.0101481765191321
"0.48";0.00345045335817096;0.00562349031211531;0.00766485194157064
"0.49";0.00359952118909325;0.00225923222013473;0.0143675109350012
"0.5";0.00375900938550759;0.00733147860813021;0.0483142587888008
"0.51";0.00392955165001119;0.00239073423277972;0.0197052188606672
"0.52";0.00411183127525014;0.00298532058292499;0.00589045606896133
"0.53";0.00430658589894198;0.00332100249664249;0.0397053482860168
"0.54";0.00451461284043438;0.00369126866738733;0.0165618948337621
"0.55";0.00473677510927462;0.00535207079419593;0.0066578365866372
"0.56";0.00497400819339856;0.0058511147512432;0.0164021518201115
"0.57";0.00522732775547402;0.0039295305770143;0.0966397336052229
"0.58";0.0054978383916127;0.00442365826234084;0.0116006427535764
"0.59";0.00578674363832985;0.00667582015312002;0.0194719188512199
"0.6";0.006095357452879;0.00391245730094903;0.0079551742798532
"0.61";0.00642511744099622;0.00454079231409811;0.0134017990508164
"0.62";0.00677760016737521;0.0853145295039061;0.00756877094804912
"0.63";0.0071545389614437;0.00764702176252203;0.0155411006080574
"0.64";0.00755784472897734;0.00309577886148651;0.0293424664135155
"0.65";0.00798963040511824;0.00673263957759091;0.0109256251310116
"0.66";0.00845223984499931;0.00710321999926247;0.0132510588624453
"0.67";0.00894828215598112;0.0122874177028512;0.0156686157684787
"0.68";0.00948067274627695;0.0174609927118085;0.0152767530193645
"0.69";0.0100526827202038;0.00511150503849692;0.0158855876144634
"0.7";0.0106679987206102;0.015823975628091;0.00584182542111425
"0.71";0.0113307959464144;0.0523129394099419;0.0743644037949724
"0.72";0.012045827917319;0.00985637998520379;0.0157842854649646
"0.73";0.0128185377038695;0.00738548365097945;0.00883493107557891
"0.74";0.0136551969121336;0.00616876802390656;0.0293283654819964
"0.75";0.0145630808881459;0.0132540437868184;0.0252773899176107
"0.76";0.0155506916539429;0.0057032028509778;0.0356183047113046
"0.77";0.0166280444037762;0.00499360113674454;0.00984853258907389
"0.78";0.0178070395843719;0.0154143949625713;0.0232396834864278
"0.79";0.0191019515994063;0.00653995071373458;0.0241967980339385
"0.8";0.0205300785019701;0.0131720614502073;0.0074418155693682
"0.81";0.0221126170591778;0.0219850674636702;0.0051996268301093
"0.82";0.0238758582130965;0.00603470241533701;0.0191701174848301
"0.83";0.0258528458105794;0.0100225125302732;0.0373639940683573
"0.84";0.028085717877915;0.0101474395318674;0.081586828548884
"0.85";0.0306290747620022;0.00788643681001943;0.036670107381921
"0.86";0.033554928825664;0.0371732567909643;0.171188082040526
"0.87";0.0369601554110292;0.0275885028106514;0.0191889904118671
"0.88";0.0409780208309533;0.0117507962549182;0.0733218376512085
"0.89";0.045796590602239;0.013688641862063;0.0270719312622307
"0.9";0.0516892261855702;0.0292231644008529;0.0242292238564921
"0.91";0.0590673466672362;0.0122756677738518;0.0363481523540198
"0.92";0.0685765284220672;0.0441822246406627;0.0162036039653062
"0.93";0.0812825724492144;0.0574254289060263;0.0179048439174612
"0.94";0.09905875405895;0.0191256056442029;0.027860644533768
"0.95";0.125463267508274;0.0199746400585574;0.0291704857833549
"0.96";0.167942081406603;0.0337725167900412;0.0502390916547329
"0.97";0.244189324459594;0.0678706524541059;0.0243128216219044
"0.98";0.405737147864347;0.0247688460643249;0.0364747542162806
"0.99";0.899335619811929;0.0160212871426421;0.0956675224486659
