"sobol";"halton";"pseudo"
"-0.999";2.12774987882628;0.0738441781654167;0.0516172776332267
"-0.998";1.30329478537122;0.0743050134355087;1.31722811235497
"-0.997";0.917692104964333;0.0992395062403884;0.168121153132854
"-0.996";0.701722855369613;0.0713614473283717;0.181990240378369
"-0.995";0.565058113645259;0.0421943474848622;0.0144843720035531
"-0.994";0.471332161450836;0.0510608617196536;1.13715753753996
"-0.993";0.403337247313146;0.0411031096382385;0.870405232972065
"-0.992";0.351917187598602;0.0289378384911273;0.0405065987363658
"-0.991";0.311761180603628;0.327570578565921;0.0458345682291016
"-0.99";0.279583851469865;0.0238728909775508;0.0216330825180965
"-0.989";0.253250096648885;0.0645746102060773;0.0415514091430823
"-0.988";0.231317143591168;0.0464913542058624;0.0923535759673107
"-0.987";0.212778250505182;0.0257437674954081;0.0216389153354976
"-0.986";0.196911425875724;0.038991695012296;0.785785517093198
"-0.985";0.183186294506171;0.0164657128101873;0.0249351332046628
"-0.984";0.171204784901704;0.0215940299814189;0.129815740779594
"-0.983";0.160662282931043;0.0630807489077667;0.0509912796254839
"-0.982";0.151321573016663;0.0461997574871787;0.0697251982333842
"-0.981";0.142994983140345;0.263627952556308;0.0346106790546972
"-0.98";0.13553191267734;0.0361678373127254;0.0289279244170887
"-0.979";0.128809962555263;0.20127978318917;0.0302753249382187
"-0.978";0.122728519672312;0.032882180535782;0.037594746907146
"-0.977";0.117204041379087;0.0399701989754344;0.0203542814851614
"-0.976";0.112166536211694;0.0227356360923509;0.0104154289785273
"-0.975";0.107556899092649;0.0318391098434545;0.0411614007559602
"-0.974";0.103324865745577;0.0218128323273223;0.0390259760325596
"-0.973";0.099427422133143;0.0145952426815053;0.0436485304251502
"-0.972";0.0958275527792194;0.0732367341053429;0.0701431674079193
"-0.971";0.0924932447492774;0.0167509628413841;0.0240630933777122
"-0.97";0.0893966868882742;0.0238123463724151;0.0134303505458438
"-0.969";0.0865136199370198;0.0383251994484975;0.0148560788506741
"-0.968";0.0838228045274367;0.0413888034316912;0.0248316647111253
"-0.967";0.0813055822333007;0.0834289344354666;0.0747735513317645
"-0.966";0.0789455107945318;0.0230995564952752;0.0476955603322834
"-0.965";0.0767280589987259;0.329798233843567;0.015061740617887
"-0.964";0.0746403499461515;0.0370952839754269;0.0471709200516621
"-0.963";0.0726709438581765;0.01136936509753;0.0376870327237328
"-0.962";0.0708096534343814;0.0202765177051149;0.037772166444752
"-0.961";0.0690473861764364;0.00860828453799247;0.0185914888717458
"-0.96";0.0673760091886742;0.0221408908944983;0.03564220849886
"-0.959";0.0657882328166299;0.0132937432482844;0.0329953502012741
"-0.958";0.0642775101542607;0.02057965231568;0.0251568596309416
"-0.957";0.0628379499811824;0.00955437587508149;0.0440644772226506
"-0.956";0.061464241115038;0.0266750976042609;0.0403990004806825
"-0.955";0.0601515865049687;0.0328114776871792;0.037137662899336
"-0.954";0.0588956456681465;0.0264369299103862;0.0463835094689483
"-0.953";0.0576924842961991;0.0948836733076824;0.0205049162474201
"-0.952";0.0565385300426578;0.0446347798998793;0.0377399805102028
"-0.951";0.0554305336544409;0.0106224694219353;0.187169115811445
"-0.95";0.0543655347361939;0.0120703746984225;0.0261681174386856
"-0.949";0.0533408315410394;0.0349028984839143;0.0320772334752074
"-0.948";0.0523539542688494;0.508352268714465;0.0214055294259884
"-0.947";0.0514026414266943;0.00936004091112026;0.0217675683801589
"-0.946";0.0504848188681176;0.0463565759352471;0.0512147028662565
"-0.945";0.0495985811803557;0.0138525625571358;0.0405417666496056
"-0.944";0.0487421751331849;0.0554358596393596;0.0775607551614865
"-0.943";0.0479139849410474;0.0250986010560065;0.0170502133497528
